1046,3,9,8,013904305
1046,3,8,9,013904305
346,1,9,8,013904305
346,1,8,9,013904305
746,2,9,8,013904305
1446,4,9,8,013904305
1046,3,9,8,013904305
746,2,9,8,013904305
1046,3,9,8,013904305
1046,3,9,8,013904305
1046,3,9,8,013904305
746,2,9,8,013904305
746,2,9,8,013904305
346,1,9,8,013904305
1446,4,8,9,013904305
1446,4,8,9,013904305
1446,4,8,9,013904305
1446,4,8,9,013904305
1446,4,8,9,013904305
1446,4,8,9,013904305
346,1,8,9,013904305
1046,3,9,8,013904305
1046,3,8,9,013904305
1046,3,9,8,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
346,1,8,9,013904305
346,1,8,9,013904305
346,1,8,9,013904305
346,1,8,9,013904305
746,2,8,9,013904305
1046,3,8,9,013904305
1046,3,8,9,013904305
746,2,8,9,013904305
346,1,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
746,2,8,9,013904305
346,1,8,9,013904305
746,2,8,9,013904305
346,1,8,9,013904305
1046,3,8,9,013904305
1046,3,8,9,013904305
746,2,8,9,013904305
346,1,8,9,013904305
746,2,8,9,013904305
1046,3,9,8,013904305
1046,3,8,9,013904305
746,2,8,9,013904305
1046,3,9,8,013904305
746,2,8,9,013904305
346,1,8,9,013904305
1446,4,9,8,013904305
1046,3,8,9,013904305
346,1,8,9,013904305
1046,3,9,8,013904305
746,2,8,9,013904305
346,1,8,9,013904305
1446,4,9,8,013904305
1046,3,8,9,013904305
346,1,8,9,013904305
1046,3,9,8,013904305
1046,3,8,9,013904305
346,1,9,8,013904305
346,1,8,9,013904305
4198246,201,10,11,78462F103
334146,100,12,8,046353108
334146,100,12,8,046353108
2086846,100,10,11,78462F103
2086646,100,11,10,78462F103
